HylemeID;SeqID;Hyleme;Hyleme-Type;Callaway Headings;Comment;Tale Title
1;1;A woman is pregnant.;durativ-initial;Uthlakanyana speaks before he is born.;;Uhlakanyana
2;1;The child speaks from the womb.;single-point;;;
3;1;[The woman is a queen.];durative-constant;;;
4;1;[The father is a king.];durative-constant;;;
5;1;[The child is a boy.];durative-constant;;;
6;1;[The child is [PER].];durative-constant;;;
7;1;The child demands to be born at once.;single-point;;The child demands to be born on the day of the slaughtering.;
8;1;The child says that the people are devouring his father’s cattle.;single-point;;;
9;1;The mother asks NN to come and listen to the unborn child.;single-point;;;
10;1;The mother repeats what the child said.;single-point;;;
11;2;The father slaughters oxen.;single-point;The father calls the people together.;;
12;2;The people come together.;single-point;;;
13;2;The men report that the unborn child is speaking.;single-point;;;
14;2;The father asks for proof.;single-point;;;
15;2;The child repeats his demand to be born at once.;single-point;;;
16;2;The child says that the cattle in the kraal are coming to an end.;single-point;;;
17;2;The child says that he wants flesh.;single-point;;;
18;2;The people wonder.;single-point;;;
19;3;The father orders the people to leave the hut.;single-point;All the people are put out of the hut, and Uthlakanyana is born.;;
20;3;The father tells the mother to give birth to the child.;single-point;;;
21;3;The people leave the hut.;single-point;;;
22;3;The child is born.;single-point;;;
23;3;The child stands up.;single-point;;;
24;3;The mother wants to cut the cord.;single-point;;;
25;3;The child wants to cut the cord himself.;single-point;;;
26;3;The child says that he is old.;single-point;;;
27;3;The child takes his father’s spear.;single-point;;;
28;3;The child cuts the cord with the spear.;single-point;;;
29;3;The child throws the spear down.;single-point;;;
30;3;The mother washes him with water.;single-point;;;
31;4;The child goes out with the spear. ;single-point;Uthlakanyana goes out, and the people run away.;;
32;4;The mother takes the spear away from the child.;single-point;;;
33;4;(The men are sitting by the kraal.);durativ-initial;;;
34;4;The men are eating.;single-point;;;
35;4;The child goes to the cattle-kraal.;single-point;;;
36;4;The men at the kraal run away.;single-point;;CH not a full sentence.;
37;4;The child sits down by the fire.;single-point;;;
38;4;The child eats a piece of meat. ;single-point;;;
39;4;The men come back. ;single-point;;;
40;4;The men ask the mother if the child is the newborn who was speaking before birth.;single-point;;;
41;4;The mother answers in the affirmative.;single-point;;;
42;4;The men praise the mother for giving birth to the child.;single-point;The men praise his wisdom, and propose that he shall be the great child.;;
43;5;The men praise the wisdom of the child.;single-point;;;
44;6;The child proposes a test of manhood between him and the people.;single-point;Uthlakanyana proposes a test of manhood.;CH Hyperhylem;
45;6;[The father takes a leg of beef.];single-point;;;
46;6;[The father throws the leg of beef below the kraal.];single-point;;;
47;6;[The boys and men stand together above the kraal.];single-point;;;
48;6;The child crawls through an enclosure at the lower part of the kraal.;single-point;;;
49;6;[The boys and men leave from the upper part of the kraal.];single-point;;;
50;6;[The child grabs the leg of beef.];single-point;;;
51;6;[The child meets the boys and men on the way back.];single-point;;;
52;6;[The child gives the beef to his mother.];single-point;;;
53;6;The mother praises the wisdom of the child.;single-point;;;
54;7;The child returns to the cattle-kraal.;single-point;Uthlakanyana practises hypocrisy, and appropriates the property of other people.;;
55;7;The father gives meat to a man.;single-point;;;
56;7;The child offers to bring the meat into the man’s house.;single-point;;;
57;7;The man agrees.;single-point;;;
58;7;The child thanks the man.;single-point;;;
59;7;The child takes the meat into the man’s house.;single-point;;;
60;7;The child smears blood on the man’s eating mat.;single-point;;;
61;7;The child smears blood on a stick.;single-point;;;
62;7;The child leaves with the meat.;single-point;;;
63;7;The child gives the meat to his mother.;single-point;;;
64;7;The child thanks the man.;single-point;;;
65;7;[The father gives meat to another man.];single-point;;;
66;7;The child offers to bring the meat into the other man’s house.;single-point;;;
67;7;The other man agrees.;single-point;;;
68;7;The child thanks the other man.;single-point;;;
69;7;The child takes the meat into the other man’s house.;single-point;;;
70;7;The child smears blood on the other man’s eating mat.;single-point;;;
71;7;The child smears blood on a stick.;single-point;;;
72;7;The child leaves with the meat.;single-point;;;
73;7;The child gives the meat to his mother.;single-point;;;
74;7;The mother thanks the child.;single-point;;;
75;7;The mother praises the manhood of the child.;single-point;;;
76;7;None of the men finds their meat in their homes.;durative-resultative;;;
77;7;The people ask the child where the meat is.;single-point;;;
